ResponseId,StartDate_x,EndDate_x,Status_x,IPAddress_x,RecordedDate_x,ResponseId,DistributionChannel_x,UserLanguage_x,Q26_x,StartDate_y,EndDate_y,IPAddress_y,RecordedDate_y,DistributionChannel_y,UserLanguage_y,Q26_y,STAI State_1_y,STAI State_2_y,STAI State_3_y,STAI State_4_y,STAI State_5_y,STAI State_6_y,STAI State_7_y,STAI State_8_y,STAI State_9_y,STAI State_10_y,STAI State_11_y,STAI State_12_y,STAI State_13_y,STAI State_14_y,STAI State_15_y,STAI State_16_y,STAI State_17_y,STAI State_18_y,STAI State_19_y,STAI State_20_y,STAI-S Total,PANAS_1_y,PANAS_2_y,PANAS_3_y,PANAS_4_y,PANAS_5_y,PANAS_6_y,PANAS_7_y,PANAS_8_y,PANAS_9_y,PANAS_10_y,PANAS_11_y,PANAS_12_y,PANAS_13_y,PANAS_14_y,PANAS_15_y,PANAS_16_y,PANAS_17_y,PANAS_18_y,PANAS_19_y,PANAS_20_y,PANAS Positive Total,PANAS Negative Total
R_5Y1zn6NFPweXHYl,2024-08-01 08:23:16,2024-08-01 08:32:22,IP Address,134.74.251.205,2024-08-01 08:32:23,R_5Y1zn6NFPweXHYl,qr,EN,S02pdb1,2024-08-01 08:23:16,2024-08-01 08:32:22,134.74.251.205,2024-08-01 08:32:23,qr,EN,S02pdb1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,36.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,3.0,1.0,5.0,1.0,4.0,1.0,4.0,4.0,1.0,4.0,1.0,43.0,28.0
R_6m2buo7O4Qd0T57,2024-08-06 08:09:29,2024-08-06 08:12:02,IP Address,172.56.165.179,2024-08-06 08:12:03,R_6m2buo7O4Qd0T57,qr,EN,s03pdb1,2024-08-06 08:09:29,2024-08-06 08:12:02,172.56.165.179,2024-08-06 08:12:03,qr,EN,s03pdb1,2.0,2.0,2.0,3.0,3.0,1.0,1.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,2.0,53.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4.0,2.0,1.0,1.0,31.0,26.0
R_1SeMnbC7N0M56X4,2024-08-06 13:40:34,2024-08-06 13:46:55,IP Address,174.204.140.77,2024-08-06 13:46:56,R_1SeMnbC7N0M56X4,qr,EN,s04pdb1,2024-08-06 13:40:34,2024-08-06 13:46:55,174.204.140.77,2024-08-06 13:46:56,qr,EN,s04pdb1,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,1.0,37.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,5.0,1.0,3.0,1.0,4.0,4.0,2.0,3.0,1.0,41.0,27.0
R_5d4c4EEPwTmUEnv,2024-08-12 09:54:00,2024-08-12 09:56:04,IP Address,174.229.78.243,2024-08-12 09:56:05,R_5d4c4EEPwTmUEnv,qr,EN,S05pdb1,2024-08-12 09:54:00,2024-08-12 09:56:04,174.229.78.243,2024-08-12 09:56:05,qr,EN,S05pdb1,3.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,2.0,54.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,32.0,23.0
R_5a1NUWEzSO0YBFL,2024-08-15 08:25:46,2024-08-15 08:28:44,IP Address,172.56.165.61,2024-08-15 08:28:45,R_5a1NUWEzSO0YBFL,qr,EN,S07pdb1,2024-08-15 08:25:46,2024-08-15 08:28:44,172.56.165.61,2024-08-15 08:28:45,qr,EN,S07pdb1,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,2.0,49.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,1.0,2.0,1.0,33.0,24.0
R_62eMI8AZNM43KF3,2024-08-15 10:03:29,2024-08-15 10:05:57,IP Address,174.216.247.25,2024-08-15 10:05:58,R_62eMI8AZNM43KF3,qr,EN,S06pdb1,2024-08-15 10:03:29,2024-08-15 10:05:57,174.216.247.25,2024-08-15 10:05:58,qr,EN,S06pdb1,3.0,3.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,47.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,1.0,32.0,21.0
R_523JMsq1nYnyLQT,2024-08-13 12:36:31,2024-08-13 13:25:23,IP Address,134.74.251.207,2024-08-20 13:25:28,R_523JMsq1nYnyLQT,qr,EN,av,2024-08-13 12:36:31,2024-08-13 13:25:23,134.74.251.207,2024-08-20 13:25:28,qr,EN,av,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R_5EcemK0Xzc6e2gY,2024-08-22 13:05:11,2024-08-22 13:07:36,IP Address,172.59.208.75,2024-08-22 13:07:37,R_5EcemK0Xzc6e2gY,qr,EN,S08pdb1,2024-08-22 13:05:11,2024-08-22 13:07:36,172.59.208.75,2024-08-22 13:07:37,qr,EN,S08pdb1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,2.0,2.0,4.0,1.0,2.0,35.0,4.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,1.0,3.0,1.0,4.0,3.0,1.0,4.0,1.0,38.0,23.0
R_65MWTU5pKjNtdfS,2024-08-23 09:51:52,2024-08-23 09:55:46,IP Address,134.74.251.209,2024-08-23 09:55:47,R_65MWTU5pKjNtdfS,qr,EN,s01pdb1,2024-08-23 09:51:52,2024-08-23 09:55:46,134.74.251.209,2024-08-23 09:55:47,qr,EN,s01pdb1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,2.0,1.0,37.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,24.0,18.0
R_7lyvyG1VrdCBAJ2,2024-09-04 11:01:55,2024-09-04 11:04:21,IP Address,172.56.163.7,2024-09-04 11:04:22,R_7lyvyG1VrdCBAJ2,qr,EN,So9bdb1,2024-09-04 11:01:55,2024-09-04 11:04:21,172.56.163.7,2024-09-04 11:04:22,qr,EN,So9bdb1,3.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,3.0,55.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,4.0,2.0,31.0,27.0
